Date,Open,High,Low,Close,Adj Close,Volume
2017-01-16,360.549988,385.500000,360.549988,381.399994,352.639740,523926
2017-01-17,384.100006,394.549988,383.000000,388.000000,358.742065,322590
2017-01-18,398.000000,404.700012,395.100006,396.899994,366.970947,586028
2017-01-19,400.000000,403.149994,396.399994,399.899994,369.744720,147932
2017-01-20,401.000000,401.299988,388.000000,389.500000,360.128937,118652
2017-01-23,389.950012,395.450012,387.250000,392.899994,363.272552,72871
2017-01-24,394.799988,397.799988,392.100006,396.350006,366.462402,87098
2017-01-25,398.000000,398.850006,390.049988,393.899994,364.197174,80881
2017-01-27,396.450012,408.000000,394.399994,400.600006,370.391968,307007
2017-01-30,407.799988,407.799988,383.000000,387.350006,358.141083,801948
2017-01-31,388.500000,389.000000,372.000000,374.100006,345.890198,206634
2017-02-01,375.500000,383.500000,375.000000,381.500000,352.732208,116587
2017-02-02,381.500000,382.649994,372.500000,373.700012,345.520386,142009
2017-02-03,375.000000,375.000000,368.200012,369.350006,341.498383,126874
2017-02-06,372.000000,374.799988,369.000000,371.899994,343.856110,140093
2017-02-07,372.000000,383.000000,371.899994,375.649994,347.323364,130264
2017-02-08,376.000000,382.500000,373.149994,376.149994,347.785614,84433
2017-02-09,376.299988,379.000000,374.000000,375.149994,346.861053,49098
2017-02-10,376.000000,394.200012,376.000000,389.200012,359.851593,488637
2017-02-13,391.000000,396.950012,386.350006,389.399994,360.036499,326362
2017-02-14,390.000000,397.000000,389.200012,393.500000,363.827362,221097
2017-02-15,394.649994,395.899994,355.700012,379.250000,350.651855,134277
2017-02-16,380.100006,388.000000,378.000000,384.200012,355.228638,75646
2017-02-17,385.950012,387.850006,382.299988,384.250000,355.274841,58310
2017-02-20,380.549988,394.000000,380.549988,390.799988,361.330933,108322
2017-02-21,389.000000,400.250000,389.000000,394.149994,364.428284,184122
2017-02-22,394.149994,397.000000,385.950012,386.950012,357.771240,80959
2017-02-23,386.500000,392.000000,382.000000,382.950012,354.072876,77573
2017-02-27,385.399994,392.649994,379.950012,380.500000,351.807617,65331
2017-02-28,381.799988,384.299988,378.350006,381.950012,353.148315,63863
2017-03-01,383.850006,385.100006,379.549988,380.200012,351.530212,62213
2017-03-02,382.000000,388.500000,376.000000,377.850006,349.357452,100409
2017-03-03,377.850006,379.450012,373.200012,375.799988,347.462006,56133
2017-03-06,376.899994,377.799988,373.000000,374.649994,346.398773,49138
2017-03-07,372.250000,378.549988,371.149994,372.450012,344.364685,65496
2017-03-08,374.500000,376.299988,371.000000,373.600006,345.427887,28794
2017-03-09,373.500000,382.000000,371.149994,380.600006,351.900085,74255
2017-03-10,381.000000,404.049988,381.000000,400.500000,370.299469,455624
2017-03-14,409.399994,416.000000,406.049988,413.350006,382.180481,451310
2017-03-15,411.100006,413.000000,406.100006,408.399994,377.603790,65093
2017-03-16,411.700012,412.000000,406.549988,408.750000,377.927368,54764
2017-03-17,407.100006,425.000000,397.299988,410.750000,379.776550,171094
2017-03-20,410.100006,412.950012,405.000000,410.049988,379.129303,85204
2017-03-21,408.399994,416.649994,407.950012,408.500000,377.696259,60969
2017-03-22,405.000000,411.899994,401.000000,405.049988,374.506378,76071
2017-03-23,406.000000,411.000000,405.000000,405.350006,374.783783,46674
2017-03-24,405.350006,410.700012,404.000000,404.200012,373.720520,62308
2017-03-27,409.750000,409.750000,401.000000,402.250000,371.917511,52199
2017-03-28,403.000000,408.750000,402.899994,403.450012,373.027039,49954
2017-03-29,406.500000,414.399994,404.899994,408.049988,377.280151,103798
2017-03-30,410.000000,410.750000,402.850006,404.649994,374.136536,79220
2017-03-31,406.950012,411.100006,406.500000,407.799988,377.049011,101658
2017-04-03,407.750000,414.000000,405.049988,409.049988,378.204712,68312
2017-04-05,409.200012,416.700012,406.500000,407.750000,377.002777,105494
2017-04-06,411.000000,440.500000,409.100006,430.100006,397.667450,667804
2017-04-07,429.799988,438.200012,425.549988,429.850006,397.436279,239278
2017-04-10,433.350006,435.549988,424.899994,428.399994,396.095612,89898
2017-04-11,429.950012,432.500000,421.100006,423.200012,391.287750,84520
2017-04-12,425.000000,448.600006,416.950012,433.250000,400.579895,468014
2017-04-13,435.799988,439.000000,432.100006,434.399994,401.643188,95232
2017-04-17,433.399994,441.500000,429.049988,431.299988,398.776947,115502
2017-04-18,433.000000,450.000000,430.000000,432.100006,399.516663,382456
2017-04-19,433.500000,443.899994,433.500000,441.450012,408.161591,116455
2017-04-20,443.250000,450.000000,442.500000,447.399994,413.662903,137447
2017-04-21,450.250000,454.850006,441.750000,447.500000,413.755402,110483
2017-04-24,460.000000,472.750000,460.000000,468.350006,433.033112,425604
2017-04-25,472.899994,480.950012,471.600006,478.950012,442.833801,198429
2017-04-26,479.899994,484.049988,470.000000,473.950012,438.210876,155896
2017-04-27,474.000000,479.500000,462.750000,464.700012,429.658356,117558
2017-04-28,467.000000,478.000000,466.549988,467.649994,432.385895,59918
2017-05-02,469.000000,478.000000,459.000000,463.700012,428.733795,66973
2017-05-03,465.000000,474.500000,462.200012,470.149994,434.697388,50027
2017-05-04,472.000000,473.649994,461.250000,463.899994,428.918701,65534
2017-05-05,463.100006,468.450012,453.500000,459.049988,424.434357,65783
2017-05-08,459.000000,459.799988,447.500000,450.250000,416.297974,216320
2017-05-09,451.399994,460.000000,451.399994,456.799988,422.354095,32911
2017-05-10,459.799988,459.799988,452.549988,456.799988,422.354095,102271
2017-05-11,465.899994,468.899994,460.350006,462.500000,427.624268,73138
2017-05-12,458.200012,460.000000,455.000000,456.100006,421.706879,42064
2017-05-15,456.700012,464.799988,455.100006,457.350006,422.862579,60405
2017-05-16,459.000000,459.000000,455.000000,455.250000,420.920898,32471
2017-05-17,457.049988,476.399994,455.250000,472.649994,437.008820,145701
2017-05-18,465.000000,474.000000,461.500000,461.850006,427.023254,64087
2017-05-19,466.700012,466.750000,455.000000,455.350006,421.013397,51272
2017-05-22,458.500000,459.750000,454.000000,455.250000,420.920898,78001
2017-05-23,455.049988,457.049988,432.000000,435.149994,402.336609,186681
2017-05-24,439.000000,445.899994,428.500000,440.500000,407.283203,66041
2017-05-25,443.250000,448.899994,440.000000,443.149994,409.733368,46811
2017-05-26,441.500000,450.000000,411.950012,426.200012,394.061523,327961
2017-05-29,426.549988,428.100006,406.250000,410.700012,379.730347,120012
2017-05-30,411.000000,413.799988,402.899994,409.549988,378.666992,40982
2017-05-31,410.000000,411.799988,404.200012,408.600006,377.788727,45738
2017-06-01,410.000000,419.600006,408.000000,415.600006,384.260834,46398
2017-06-02,411.049988,417.350006,405.500000,406.399994,375.754578,67368
2017-06-05,407.000000,412.000000,406.000000,407.200012,376.494293,33333
2017-06-06,405.000000,412.000000,405.000000,407.700012,376.956573,20430
2017-06-07,408.700012,409.950012,400.500000,402.100006,371.778839,41879
2017-06-08,404.450012,414.000000,402.049988,409.000000,378.158539,62062
2017-06-09,411.649994,412.850006,402.549988,404.100006,373.628021,41971
2017-06-12,405.000000,409.899994,400.600006,401.899994,371.593903,37193
2017-06-13,404.149994,408.700012,401.899994,403.500000,373.073303,29529
2017-06-14,400.049988,404.950012,398.100006,399.950012,369.790955,37289
2017-06-15,400.899994,427.000000,400.899994,409.049988,378.204712,230722
2017-06-16,414.600006,414.600006,408.200012,409.649994,378.759491,56095
2017-06-19,411.850006,414.000000,404.000000,405.049988,374.506378,39986
2017-06-20,404.000000,408.600006,398.399994,401.450012,371.177856,37373
2017-06-21,401.000000,405.149994,399.549988,400.950012,370.715546,23990
2017-06-22,403.200012,404.000000,392.000000,393.850006,364.150940,60782
2017-06-23,395.500000,395.500000,382.700012,386.200012,357.077789,80461
2017-06-27,388.500000,392.950012,385.399994,387.100006,357.909943,120703
2017-06-28,388.000000,392.000000,385.000000,387.049988,357.863678,37613
2017-06-29,388.049988,398.649994,388.000000,393.299988,363.642395,41295
2017-06-30,390.399994,392.500000,387.000000,387.649994,358.418457,20858
2017-07-03,390.200012,400.000000,390.100006,394.600006,364.844391,54929
2017-07-04,395.149994,398.350006,391.799988,392.549988,362.948944,31964
2017-07-05,392.200012,396.750000,391.250000,394.450012,364.705719,39648
2017-07-06,396.000000,399.149994,393.450012,395.399994,365.584076,43831
2017-07-07,394.500000,395.750000,391.200012,392.250000,362.671600,22201
2017-07-10,392.600006,397.000000,392.000000,393.600006,363.919800,6021
2017-07-11,393.950012,394.549988,389.549988,390.399994,360.961090,35278
2017-07-12,391.500000,393.549988,388.000000,390.850006,361.377167,37115
2017-07-13,390.850006,393.850006,388.049988,391.399994,361.885681,56264
2017-07-14,395.000000,396.700012,384.500000,387.799988,358.557159,46477
2017-07-17,388.350006,394.649994,388.350006,392.100006,362.532898,26591
2017-07-18,391.700012,391.700012,378.000000,388.500000,359.204346,79971
2017-07-19,391.250000,408.000000,387.000000,405.950012,375.338501,155925
2017-07-20,408.450012,409.899994,397.649994,401.850006,371.547699,55976
2017-07-21,400.950012,404.600006,395.500000,397.350006,367.387024,30528
2017-07-24,398.899994,403.750000,394.000000,396.000000,366.138824,58812
